objectid,filename,document type,title,claim name,claim number,claim type,creator,date,description,subject,location,county,district,township,range,section,latitude,longitude,source,identifier,type,format,language,associated name,,
bostania001,Bostania.jpg,Folder Contents,Bostania Folder Contents,Bostania,,Lode,,,Folder Contents,Contents; Bostania,Beaverhead,Beaverhead,Elkhorn,4N,12W,14,46.0972,-113.0569,,,Image;StillImage,image/jpeg,eng,Near Wise River,,
bostongroup001,Boston_Group.jpg,Folder Contents,Boston Group Folder Contents,Boston Group,,Lode,,,Folder Contents,Contents; Boston Group,Beaverhead,Beaverhead,Elkhorn,4S,12W,14,45.4894,-113.0458,,,Image;StillImage,image/jpeg,eng,"Copper Queen, Red Sky, St. Louis, Atlas, Simpson, Blue Eyed Annie, Mammoth, Mono, Storm",,
bozeadar001,Bozeadar.jpg,Folder Contents,Bozeadar Folder Contents,Bozeadar,,Lode,,,Folder Contents,Contents; Bozeadar,Beaverhead,Beaverhead,Utopia,5S,11W,14,45.39931,-112.92735,,,Image;StillImage,image/jpeg,eng,,,
bozo001,Bozo.jpg,Folder Contents,Bozo Folder Contents,Bozo,,Lode,,,Folder Contents,Contents; Bozo,Beaverhead,Beaverhead,,8S,7W,7,45.1536,-112.50828,,,Image;StillImage,image/jpeg,eng,A/K/A Lobo,,
brownbear001,Brown_Bear.jpg,Folder Contents,Brown Bear Folder Contents,Brown Bear,,,,,Folder Contents,Contents; Brown Bear,Beaverhead,Beaverhead,Dillon,10S,15W,7,44.94069,-113.4423,,,Image;StillImage,image/jpeg,eng,,,
brownslake001,Browns_Lake.jpg,Folder Contents,Browns Lake Folder Contents,Brown's Lake,,Lode,,,Folder Contents,Contents; Brown's Lake,Beaverhead,Beaverhead,Lost Creek,4S,10W,3,45.51744,-112.82572,,,Image;StillImage,image/jpeg,eng,"A/K/A Brownes Lake Tungsten /Ivanhoe, Brown'S Lake Deposit, Browns Lake, Ivanhoe, Fluorscent, Lentung Group, Lost Copper, Mammoth",,
burgierosa001,Burgierosa.jpg,Folder Contents,Burgierosa Folder Contents,Burgierosa,,Lode,,,Folder Contents,Contents; Burgierosa,Beaverhead,Beaverhead,Vipond Park,1S,11W,19,45.70694,-112.94778,,,Image;StillImage,image/jpeg,eng,Sheep Mountain; Gray (Grey) Jockey;,,
buster001,Buster.jpg,Folder Contents,Buster Folder Contents,Buster,,Lode,,,Folder Contents,Contents; Buster,Beaverhead,Beaverhead,Utopia,5S,10W,19,45.3885,-112.88339,,,Image;StillImage,image/jpeg,eng,Buster,,
buttevipondmine001,Butte_Vipond_Mining_Co.jpg,Folder Contents,Butte Vipond Mining Co Folder Contents,Butte Vipond Mining Co.,,Lode,,,Folder Contents,Contents; Butte Vipond Mining Co.,Beaverhead,Beaverhead,Vipond Park,,,,,,,,Image;StillImage,image/jpeg,eng,De Celles,,
calvert001,Calvert.jpg,Folder Contents,Calvert Folder Contents,Calvert,,Lode,,,Folder Contents,Contents; Calvert,Beaverhead,Beaverhead,Elkhorn,1N,13W,12,45.8481,-113.1514,,,Image;StillImage,image/jpeg,eng,A/K/A Red Buttons,,
campcreek001,Camp_Creek.jpg,Folder Contents,Camp Creek Folder Contents,Camp Creek,,Lode,,,Folder Contents,Contents; Camp Creek,Beaverhead,Beaverhead,Ruby,8S,8W,36,45.1003,-112.5228,,,Image;StillImage,image/jpeg,eng,Camp Creek Corundum,,
cannivangulchmoly001,Cannivan_Gulch_Moly.jpg,Folder Contents,Cannivan Gulch Moly Folder Contents,Cannivan Gulch Moly,,Lode,,,Folder Contents,Contents; Cannivan Gulch Moly,Beaverhead,Beaverhead,Vipond Park,2S,11W,22,45.6542,-112.95,,,Image;StillImage,image/jpeg,eng,Cannivan Gulch Moly,,
canyoncreek001,Canyon_Creek.jpg,Folder Contents,Canyon Creek Folder Contents,Canyon Creek,,Lode,,,Folder Contents,Contents; Canyon Creek,Beaverhead,Beaverhead,Melrose,2S,9W,30,45.63483,-112.76374,,,Image;StillImage,image/jpeg,eng,"Canyon Creek Quarry, East La Marche",,
