objectid,filename,title,claim,claim number,claim type,creator,date,description,subject,location,county,district,latitude,longitude,township,range,section,source,identifier,type,format,language,associated names,rightsstatement,,,,
badger001,Badger.jpg,Badger Folder Contents,Badger,9294,Lode,,,Folder Content Sheets,Contents; Badger,Badger,Jefferson,Alhambra,46.44474,-111.92518,08N,03W,13,,,Image;StillImage,image/jpeg,eng,Badger,,,,,
bald butte extension001,Bald Butte Extension.jpg,Bald Butte Extension Folder Contents,Bald Butte Extension,,Lode,,,Folder Content Sheets,Contents; Bald Butte Extension,Bald Butte Extension,Jefferson,Basin,46.25731,-112.17331,06N,05W,24,,,Image;StillImage,image/jpeg,eng,Near Entrance To Galena Gulch,,,,,
bald eagle001,Bald Eagle.jpg,Bald Eagle Folder Contents,Bald Eagle,,Lode,,,Folder Content Sheets,Contents; Bald Eagle,Bald Eagle,Jefferson,Big Foot,46.101,112.2325,04N,05W,16,,,Image;StillImage,image/jpeg,eng,West Of State Mine,,,,,
balerat001,Balerat.jpg,Balerat Folder Contents,Balerat,2156,Lode,,,Folder Content Sheets,Contents; Balerat,Balerat,Jefferson,Basin,46.27644,-112.28274,06N,05W,18,,,Image;StillImage,image/jpeg,eng,,,,,,
ballard001,Ballard.jpg,Ballard Folder Contents,Ballard,,Lode,,,Folder Content Sheets,Contents; Ballard,Ballard,Jefferson,Clancy,46.315556,-111.263611,07N,02W,32,,,Image;StillImage,image/jpeg,eng,A/K/A Center Reef,,,,,
baltimore001,Baltimore.jpg,Baltimore Folder Contents,Baltimore,1540,Lode,,,Folder Content Sheets,Contents; Baltimore,Baltimore,Jefferson,Amazon,46.2861,112.1531,06N,04W,7,,,Image;StillImage,image/jpeg,eng,"Group Includes Mona, Minnie, Last Hope, Baltimore, Ocanto, Maryland, Western Union & Marionett",,,,,
basin bell001,Basin Bell.jpg,Basin Bell Folder Contents,Basin Bell,9765,Lode,,,Folder Content Sheets,Contents; Basin Bell,Basin Bell,Jefferson,Basin,46.28628,-112.28184,06N,05W,7,,,Image;StillImage,image/jpeg,eng,A/K/A Latsch; 1 1/2 Mi. North Of Basin On Basin Creek,,,,,
basin breccia001,Basin Breccia.jpg,Basin Breccia Folder Contents,Basin Breccia,,Placer,,,Folder Content Sheets,Contents; Basin Breccia,Basin Breccia,Jefferson,Basin,46.28666,-112.28,07N,05W,,,,Image;StillImage,image/jpeg,eng,Basin Breccia,,,,,
basin goldfields001,Basin Goldfields.jpg,Basin Goldfields Folder Contents,Basin Goldfields,,Lode,,,Folder Content Sheets,Contents; Basin Goldfields,Basin Goldfields,Jefferson,Basin,46.280556,-112.297222,06N,06W,13,,,Image;StillImage,image/jpeg,eng,A/K/A Boulder; South Side Of Pole Mountain,,,,,
basin industrial silica  quarry001,Basin Industrial Silica  Quarry.jpg,Basin Industrial Silica  Quarry Folder Contents,Basin Industrial Silica  Quarry,,Lode,,,Folder Content Sheets,Contents; Basin Industrial Silica  Quarry,Basin Industrial Silica  Quarry,Jefferson,Basin,46.2725,-112.236,06N,05W,16,,,Image;StillImage,image/jpeg,eng,Basin Industrial Silica  Quarry,,,,,
basin jib001,Basin Jib.jpg,Basin Jib Folder Contents,Basin Jib,,Lode,,,Folder Content Sheets,Contents; Basin Jib,Basin Jib,Jefferson,Basin,46.28027,-112.298,06N,05W,17,,,Image;StillImage,image/jpeg,eng,Basin Jib,,,,,
basin montana tunnel001,Basin Montana Tunnel.jpg,Basin Montana Tunnel Folder Contents,Basin Montana Tunnel,,Lode,,,Folder Content Sheets,Contents; Basin Montana Tunnel,Basin Montana Tunnel,Jefferson,Basin,46.372222,-112.133333,07N,05W,2,,,Image;StillImage,image/jpeg,eng,"Associated With Comet, Gray Eagle Workings",,,,,
basin quartz blowout001,Basin Quartz Blowout.jpg,Basin Quartz Blowout Folder Contents,Basin Quartz Blowout,,Lode,,,Folder Content Sheets,Contents; Basin Quartz Blowout,Basin Quartz Blowout,Jefferson,Basin,46.2664,112.2269,06N,05W,16,,,Image;StillImage,image/jpeg,eng,Basin Quartz Blowout,,,,,
basin quartz mass001,Basin Quartz Mass.jpg,Basin Quartz Mass Folder Contents,Basin Quartz Mass,,Lode,,,Folder Content Sheets,Contents; Basin Quartz Mass,Basin Quartz Mass,Jefferson,Cataract,46.27278,-112.35988,06N,06W,16,,,Image;StillImage,image/jpeg,eng,Basin Quartz Mass,,,,,
basin*001,Basin.jpg,Basin* Folder Contents,Basin*,2862,Lode,,,Folder Content Sheets,Contents; Basin*,Basin*,Jefferson,Cataract,46.34,-112.2308,07N,05W,21,,,Image;StillImage,image/jpeg,eng,,,,,,
bear gulch placer001,Bear Gulch Placer.jpg,Bear Gulch Placer Folder Contents,Bear Gulch Placer,,Placer,,,Folder Content Sheets,Contents; Bear Gulch Placer,Bear Gulch Placer,Jefferson,Homestake,46.01094,-112.4779,03N,07W,16,,,Image;StillImage,image/jpeg,eng,Bear Gulch Placer,,,,,
beaverton001,Beaverton.jpg,Beaverton Folder Contents,Beaverton,,Lode,,,Folder Content Sheets,Contents; Beaverton,Beaverton,Jefferson,Alhambra,46.34222,-112.048,07N,04W,24,,,Image;StillImage,image/jpeg,eng,Beaverton,,,,,
bee hive001,Bee Hive.jpg,Bee Hive Folder Contents,Bee Hive,2221,Lode,,,Folder Content Sheets,Contents; Bee Hive,Bee Hive,Jefferson,Cataract,46.28828,-112.21747,06N,05W,10,,,Image;StillImage,image/jpeg,eng,,,,,,
bell001,Bell.jpg,Bell Folder Contents,Bell,,Lode,,,Folder Content Sheets,Contents; Bell,Bell,Jefferson,Cataract,46.3711,-112.17,07N,05W,12,,,Image;StillImage,image/jpeg,eng,"Near Carbonate Chief, Mockingbird",,,,,
bell001,Bell.jpg,Bell Folder Contents,Bell,5750,Lode,,,Folder Content Sheets,Contents; Bell,Bell,Jefferson,Alhambra,46.4206,-111.8775,08N,02W,29,,,Image;StillImage,image/jpeg,eng,"Near Carbonate Chief, Mockingbird",,,,,
bell lode001,Bell Lode.jpg,Bell Lode Folder Contents,Bell Lode,10422,Lode,,,Folder Content Sheets,Contents; Bell Lode,Bell Lode,Jefferson,Basin,46.30466,-112.36394,06N,06W,4,,,Image;StillImage,image/jpeg,eng,,,,,,
belle001,Belle.jpg,Belle Folder Contents,Belle,10575,Lode,,,Folder Content Sheets,Contents; Belle,Belle,Jefferson,Elkhorn,46.3647,-111.845,07N,02W,15,,,Image;StillImage,image/jpeg,eng,"Includes Best, Lost Patented Claims",,,,,
belvidere001,Belvidere.jpg,Belvidere Folder Contents,Belvidere,1672,Lode,,,Folder Content Sheets,Contents; Belvidere,Belvidere,Jefferson,Basin,46.27274,-112.27663,06N,05W,18,,,Image;StillImage,image/jpeg,eng,Beside Katie,,,,,
bergman001,Bergman.jpg,Bergman Folder Contents,Bergman,1537,Lode,,,Folder Content Sheets,Contents; Bergman,Bergman,Jefferson,Basin,46.26691,-112.25245,06N,05W,17,,,Image;StillImage,image/jpeg,eng,,,,,,
bernice placer001,Bernice Placer.jpg,Bernice Placer Folder Contents,Bernice Placer,4668,Placer,,,Folder Content Sheets,Contents; Bernice Placer,Bernice Placer,Jefferson,Basin,46.26222,-112.335,06N,06W,22,,,Image;StillImage,image/jpeg,eng,,,,,,
bertha001,Bertha.jpg,Bertha Folder Contents,Bertha,7652,Lode,,,Folder Content Sheets,Contents; Bertha,Bertha,Jefferson,Colorado - Aka Wickes,46.3806,-112.0872,07N,04W,3,,,Image;StillImage,image/jpeg,eng,Bertha,,,,,
bertha tailings001,Bertha Tailings.jpg,Bertha Tailings Folder Contents,Bertha Tailings,7652,Lode,,,Folder Content Sheets,Contents; Bertha Tailings,Bertha Tailings,Jefferson,Colorado - Aka Wickes,46.38001,-112.08854,07N,04W,3,,,Image;StillImage,image/jpeg,eng,Bertha Tailings,,,,,
bi-metallic001,BiMetallic.jpg,Bi-Metallic Folder Contents,Bi-Metallic,,Lode,,,Folder Content Sheets,Contents; Bi-Metallic,Bi-Metallic,Jefferson,Basin,46.015278,-112.205556,03N,05W,15,,,Image;StillImage,image/jpeg,eng,"Group Includes Silver Bell, Sheridan, Highland Girl, Mountain Lion",,,,,
big chief001,Big Chief.jpg,Big Chief Folder Contents,Big Chief,2574,Lode,,,Folder Content Sheets,Contents; Big Chief,Big Chief,Jefferson,Alhambra,46.3639,-112.0097,07N,03W,17,,,Image;StillImage,image/jpeg,eng,Big Chief,,,,,
big chief001,Big Chief.jpg,Big Chief Folder Contents,Big Chief,,Lode,,,Folder Content Sheets,Contents; Big Chief,Big Chief,Jefferson,Homestake,45.98344,-112.35761,03N,06W,28,,,Image;StillImage,image/jpeg,eng,Big Chief,,,,,
big four001,Big Four.jpg,Big Four Folder Contents,Big Four,6909,Lode,,,Folder Content Sheets,Contents; Big Four,Big Four,Jefferson,Homestake,46.11196,-112.17179,04N,05W,12,,,Image;StillImage,image/jpeg,eng,,,,,,
big indian001,Big Indian.jpg,Big Indian Folder Contents,Big Indian,,Lode,,,Folder Content Sheets,Contents; Big Indian,Big Indian,Jefferson,Montana City,46.53777,-112.023,09N,03W,18,,,Image;StillImage,image/jpeg,eng,Big Indian,,,,,
big limber001,Big Limber.jpg,Big Limber Folder Contents,Big Limber,,Placer,,,Folder Content Sheets,Contents; Big Limber,Big Limber,Jefferson,Basin-Cataract,46.2873,-112.2378,06N,05W,4,,,Image;StillImage,image/jpeg,eng,,,,,,
big major001,Big Major.jpg,Big Major Folder Contents,Big Major,,Lode,,,Folder Content Sheets,Contents; Big Major,Big Major,Jefferson,Big Foot,46.12925,-112.23504,04N,05W,4,,,Image;StillImage,image/jpeg,eng,A/K/A New Bald Eagle,,,,,
big mary001,Big Mary.jpg,Big Mary Folder Contents,Big Mary,,Lode,,,Folder Content Sheets,Contents; Big Mary,Big Mary,Jefferson,Alhambra,46.391667,-111.858333,07N,02W,4,,,Image;StillImage,image/jpeg,eng,Big Mary,,,,,
big timber001,Big Timber.jpg,Big Timber Folder Contents,Big Timber,,Lode,,,Folder Content Sheets,Contents; Big Timber,Big Timber,Jefferson,Colorado,46.353611,-112.045,07N,04W,13,,,Image;StillImage,image/jpeg,eng,Group Includes Big Timber Nos. 1-7,,,,,
billie toten001,Billie Toten.jpg,Billie Toten Folder Contents,Billie Toten,,Lode,,,Folder Content Sheets,Contents; Billie Toten,Billie Toten,Jefferson,Basin,46.35667,-112.191,07N,05W,14,,,Image;StillImage,image/jpeg,eng,"Originally Known As Monitor; Includes Nancy Lee; A/K/A Billie T, Billie Totten",,,,,
bismark001,Bismark.jpg,Bismark Folder Contents,Bismark,322,Lode,,,Folder Content Sheets,Contents; Bismark,Bismark,Jefferson,Amazon,46.31063,-112.1361,07N,04W,32,,,Image;StillImage,image/jpeg,eng,East Of Australian Mine On Same Vein,,,,,
