title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Alice Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.2985","-113.0176","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/alice_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Alice.jpg","/Information/Collections/Mine-Files/Beaverhead/items/alice001.html"
"Alexander Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.5597","-113.1926","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/alexander_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Alexander.jpg","/Information/Collections/Mine-Files/Beaverhead/items/alexander001.html"
"Alumont Mining Company Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.2985","-113.0381","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/alumont_mining_company_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Alumont_Mining_Company.jpg","/Information/Collections/Mine-Files/Beaverhead/items/alumont001.html"
"Anaconda Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.2894","-112.865","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/anaconda_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Anaconda.jpg","/Information/Collections/Mine-Files/Beaverhead/items/anaconda001.html"
"Anita Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.2985","-112.8133","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/anita_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Anita.jpg","/Information/Collections/Mine-Files/Beaverhead/items/anita001.html"
"Arcadia Placer Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.5583","-113.7902","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/arcadia_placer_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Arcadia_Placer.jpg","/Information/Collections/Mine-Files/Beaverhead/items/arcadia001.html"
"Argenta Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.30972","-112.88806","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/argenta_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Argenta.jpg","/Information/Collections/Mine-Files/Beaverhead/items/aragenta001.html"
"Argerila Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","","","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/argerila_placer_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Argerila_Placer.jpg","/Information/Collections/Mine-Files/Beaverhead/items/argerila001.html"
"Argyle Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.7199","-112.9047","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/argyle_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Argyle.jpg","/Information/Collections/Mine-Files/Beaverhead/items/argyle001.html"
"Ariadne Mine Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.5673412","-112.9576242","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/ariadne_mine_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Ariadne_Mine.jpg","/Information/Collections/Mine-Files/Beaverhead/items/ariadne001.html"
"Aspen Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.490875","-113.053697","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/aspen_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Aspen.jpg","/Information/Collections/Mine-Files/Beaverhead/items/aspen001.html"
"Associated Placers Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","","","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/associated_placers_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Associated_Placers.jpg","/Information/Collections/Mine-Files/Beaverhead/items/associated001.html"
"Aurora Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.7233","-112.9017","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/aurora_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Aurora.jpg","/Information/Collections/Mine-Files/Beaverhead/items/aurora001.html"
"Axes Canyon Deposit Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.1228","-112.5425","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/axes_canyon_deposit_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Axes_Canyon_Deposit.jpg","/Information/Collections/Mine-Files/Beaverhead/items/axes001.html"
"Badger Mine Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.2781","-112.9089","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/badger_mine_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Badger_Mine.jpg","/Information/Collections/Mine-Files/Beaverhead/items/badger001.html"
"Bannack Prospect Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.15883","-112.9833","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bannack_prospect_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bannack_Prospect.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bannack001.html"
"Bea-Ann Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.1619","-112.9744","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bea-ann_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bea-Ann.jpg","/Information/Collections/Mine-Files/Beaverhead/items/beaann001.html"
"Beaverhead Mining Syndicate Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","","","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/beaverhead_mining_syndicate_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Beaverhead_Mining_Syndicate.jpg","/Information/Collections/Mine-Files/Beaverhead/items/beaverhead001.html"
"Bella Mine Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.28278","-112.855","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bella_mine_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bella_Mine.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bella001.html"
"Benton Mine Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","","","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/benton_mine_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Benton_Mine.jpg","/Information/Collections/Mine-Files/Beaverhead/items/benton001.html"
"Bentonite Clay Mine Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.3858","-112.4525","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bentonite_clay_mine_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bentonite_Clay_Mine.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bentonite001.html"
"Berlin Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.6731","-112.7017","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/berlin_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Berlin.jpg","/Information/Collections/Mine-Files/Beaverhead/items/berlin001.html"
"Birch Creek Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.40028","-112.82639","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/birch_creek_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Birch_Creek.jpg","/Information/Collections/Mine-Files/Beaverhead/items/birchcreek001.html"
"Birch Creek Iron Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.3894","-112.8417","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/birch_creek_iron_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Birch_Creek_Iron.jpg","/Information/Collections/Mine-Files/Beaverhead/items/birchcreekiron001.html"
"Birch Creek Nickel Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.487","-112.8841","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/birch_creek_nickel_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Birch_Creek_Nickel.jpg","/Information/Collections/Mine-Files/Beaverhead/items/birchcreeknickel001.html"
"Blue Bell Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.47142","-113.07054","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/blue_bell_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Blue_Bell.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bluebell001.html"
"Blue Eyed Annie Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.4756","-113.0789","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/blue_eyed_annie_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Blue_Eyed_Annie.jpg","/Information/Collections/Mine-Files/Beaverhead/items/blueeyedannie001.html"
"Blue Grass Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.1594","-112.975","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/blue_grass_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Blue_Grass.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bluegrass001.html"
"Blue Jay Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.48593","-113.04969","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/blue_jay_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Blue_Jay.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bluejay001.html"
"Blue Wing Mine Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","45.1866","-112.95509","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/blue_wing_mine_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Blue_Wing_Mine.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bluewing001.html"
"Bluebird Folder Contents","","","Folder Contents","Contents; Alice Mine","Beaverhead","44.96385","-112.50952","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bluebird_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bluebird.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bluebird001.html"
"Bon Accord Folder Contents","","","Folder Contents","Contents; Bon Accord","Beaverhead","45.124","-112.8338","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bon_accord_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bon_Accord.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bonaccord001.html"
"Bonanza Folder Contents","","","Folder Contents","Contents; Bonanza","Beaverhead","45.47137","-113.04979","","","Image;StillImage","image/jpeg","eng","","","/Information/Collections/Mine-Files/Beaverhead/objects/thumbs/bonanza_th.jpg","/Information/Collections/Mine-Files/Beaverhead/objects/Bonanza.jpg","/Information/Collections/Mine-Files/Beaverhead/items/bonanza001.html"
